species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
arabica,colombia,santander,other,washed,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,1500,1500
arabica,kenya,nyeri,peaberry,washed,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,1800,1800
arabica,guatemala,jalapa,pacas,washed,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,1524,1524
arabica,guatemala,oriente,bourbon,washed,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,1219,1219
arabica,colombia,santander,caturra,washed,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,1550,1550
arabica,colombia,huila,caturra,washed,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,1600,1900
arabica,colombia,huila,caturra,washed,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,1750,1750
arabica,costa_rica,tres_rios,bourbon,semi_washed,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,1450,1700
arabica,colombia,huila,caturra,washed,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,1800,1800
arabica,brazil,vale_da_grama,bourbon,semi_washed,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,1300,1300
arabica,brazil,mountains_of_minas_gerais,catuai,semi_washed,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,1100,1100
arabica,costa_rica,valle_central,caturra,washed,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,1200,1200
arabica,uganda,eastern_uganda,sl14,washed,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,1750,1750
arabica,china,yunnan,catimor,washed,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,1680,1680
arabica,costa_rica,tarrazu,caturra,washed,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,1700,1700
arabica,colombia,cauca,other,washed,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,1800,1800
arabica,china,yunnan,other,washed,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,1100,1100
arabica,guatemala,oriente,bourbon,washed,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,1310,1310
arabica,kenya,nyeri,sl28,washed,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,2000,2000
arabica,mexico,hustusco,typica,washed,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,1350,1350
arabica,mexico,jaltenango,typica,washed,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,1500,1500
arabica,costa_rica,tarrazu,caturra,washed,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,1300,1300
arabica,indonesia,sumatra,mandheling,other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,1400,1400
arabica,colombia,huila,caturra,washed,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,1600,1950
arabica,taiwan,mountain_ali,typica,washed,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,1200,1200
arabica,mexico,tapachula,pacamara,washed,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,900,900
arabica,kenya,nyeri,sl28,washed,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,1800,1800
arabica,honduras,central_region,catuai,washed,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,1500,1500
arabica,colombia,huila,caturra,natural,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,442,442
arabica,colombia,huila,caturra,washed,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,1800,1800
arabica,mexico,tuxtla_gutierrez,typica,washed,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,1700,1700
arabica,taiwan,國姓鄉_guoshing_township,typica,washed,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,1000,1000
arabica,thailand,chiang_rai_thailand,catimor,natural,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,1200,1200
arabica,colombia,nariño,caturra,natural,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,2560,2560
arabica,guatemala,antigua,caturra,washed,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,1500,1500
arabica,guatemala,huehuetenango,caturra,washed,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,1099,1099
arabica,china,yunnan,catimor,natural,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,1400,1400
arabica,colombia,huila,caturra,washed,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,1600,1950
arabica,colombia,huila,caturra,washed,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,1600,1950
arabica,colombia,cauca,other,washed,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,1800,1800
arabica,colombia,huila,caturra,natural,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,442,442
arabica,"tanzania,_united_republic_of",shizingo_village,other,washed,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,1620,1620
