species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
Arabica,Guatemala,oriente,Bourbon,Washed ,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,1219,1219
Arabica,Brazil,south of minas,Yellow Bourbon,Natural ,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,1260,1260
Arabica,Ecuador,province of manabi,Unknown,Natural ,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,800,800
Arabica,Colombia,huila,Caturra,Washed ,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,1750,1750
Arabica,Guatemala,oriente,Bourbon,Washed ,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,1310,1310
Arabica,Mexico,petatlan,Bourbon,Natural ,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,1218,1218
Arabica,Mexico,la concordia,Pacas,Natural ,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,1300,1300
Arabica,Brazil,carmo de minas,Yellow Bourbon,Semi-washed ,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,1250,1250
Arabica,Kenya,nyeri,SL28,Washed ,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,1800,1800
Arabica,Brazil,south of minas,Bourbon,Natural ,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,890,890
Arabica,Colombia,huila,Caturra,Washed ,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,442,442
Arabica,Taiwan,台南市東山區 (dongshan dist.,Typica,Natural ,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,750,750
Arabica,China,yunnan,Catimor,Washed ,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,1650,1650
Arabica,Colombia,huila,Caturra,Natural ,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,442,442
Arabica,Uganda,west nile,Bourbon,Natural ,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,1400,1400
Arabica,United States (Puerto Rico),yauco region,Other,Washed ,7.83,7.83,7.83,7.67,8.0,8.17,9.33,10.0,853,853
